أي خط يكون بياني الدالة الأسية \( y = a^x \) والدالة اللوغاريتمية \( y = \log_a x \) متقارنين بخصوصه؟,y=x
الشرط الكافي والضروري لدالة \( f(x) \) لتكون قابلة للاشتقاق عند النقطة \( x_0 \) هو أن المشتق الأيسر و المشتق الأيمن لـ \( f(x) \) عند \( x_0 \) كلاهما موجودان ومتساويان.,المشتق الأيمن
"فرضًا أن \( A \) و \( B \) هما حدثان عشوائيان. إذا كانت احتمالية حدوث \( A \) بشرط حدوث \( B \) تساوي احتمالية حدوث \( A \) (أو احتمالية حدوث \( B \) بشرط حدوث \( A \) تساوي احتمالية حدوث \( B \)), و \( P(A) > 0 \), \( P(B) > 0 \), فهذا يعني أن الأحداث \( A \) و \( B \) تكونا متباعدة ____.",مستقلة
إذا كان للموقف غير النهائي وجود موضع واحد لاحق على الأقل وهو موضع P، فهذا الموقف هو _____.,N-position
أشِعاع الدائرة هو خط يلامس الدائرة في ____ نقطة. （注：原句已经很清晰，按要求未做实质修改，因为其表意明确且不存在需要改变表述方式以维持原意和答案的情况） ,واحد
"إذا كان الدالة الداخلية \( u = g(x) \) تتزايد بشكل أحادي على الفترة \( I \), وكان الدالة الخارجية \( y = f(u) \) تتزايد بشكل أحادي أيضًا على الفترة المقابلة \( g(I) \) (نطاق \( g(x) \) على \( I \)), فهذه الدالة المركبة \( y = f(g(x)) \) ستكون ____ على \( I \).",تزايد أحادي
من بين عناصر مميزة \(n\)، إذا اخترنا أي عناصر \(m\) \((m \leqslant n)\) وتجمعت في مجموعة، فإن ذلك يسمى ___ من عناصر \(m\) التي تم اختيارها من بين عناصر مميزة \(n\).,مجموعة
إذا كان كل من زاويتين هو زاوية مكملة لزاوية من زاويتين متساويتين على التوالي، فهذه الزاويتان ____.,متساويتان
\(\log_a \frac{M}{N}\) 等于 \(\log_a M\) ____ \(\log_a N\),ناقص
"ما هو ناتج رفع \( a \) إلى قوة ""لوغاريتم \( N \) باساس \( a \)""؟ الإجابة هي ____.",N
الأرقام التي تأخذ الشكل \( z = a + bi \) تُدعى الأرقام المركبة، في هذه الصيغة، \( a \) يمثل الجزء الحقيقي للرقم المركب \( z \)، و \( b \) يُدعى ____ للرقم المركب \( z \).,الجزء الافتراضي
إذا كانت الأرقام المئوية وعشرية ووحدة لرقم ثلاثي الأرقام هي \(a\) و \(b\) و \(c\) على التوالي، فإن الرقم الذي يمثل هذا الرقم ثلاثي الأرقام يساوي ____ + \(10b\) + \(c\).,100a
العلاقة الأساسية في مسائل السفر: ما يساوي المسافة عندما نقوم بضرب السرعة ب____؟,الوقت
إذا كان يمكن تقسيم عدد صحيح a على عدد صحيح آخر b بدون باقي، فهذا يعني أن a هو ____ على b.,قابل للقسمة
إذا كان هنالك 3 خطط منفصلة لاستكمال مهمة، حيث يوجد \( n_1 \) طريقة في الخطه الأولى، \( n_2 \) طريقة في الخطه الثانية، و \( n_3 \) طريقة في الخطه الثالثة، فما هو العدد الإجمالي للطرق لاستكمال المهمة؟,\( n_1 + n_2 + n_3 \)
"إذا قُسِم كثير الحدود \( f(x) \) على كثير الحدود الخطي \( (x - a) \), فسيكون الباقي ثابتًا, ويمتلك هذا الثابت قيمة ____.",\(f(a)\)
إذا كان هناك خط متوازي مع مستوى ما، ويمر مستوى قطع عبر هذا الخط والمستوى الأصلي، فهذا الخط يكون ____ خط التقاطع.,متوازيًا مع
في مثلث قائم الزاوية في المستوى، مربع الوتر ____ مجموع مربعات الساقين.,يساوي
إذا كان لثلاثة أشكال مثلثة الأضلاع المتوافقة تناسبًا، فإن زوايا الداخل المتوافقة لها ____.,متساوية
"خذ جميع العناصر المتميزة \( n \) للترتيب (أي ""اختيار جميع العناصر للترتيب""), فإن عملية هذه العملية تسمى ____ للعناصر \( n \).",ترتيب
في نظام الأرقام الساقط n، ما هو أكبر رقم فردي؟,n - 1
شكل متوازي الأضلاع (مربّع متوازي الأضلاع) الذي له أضلاع متقابلة، حيث كل زوج من الأضلاع المتقابلة متوازي ومتساوي، يُعرف بـ ____.,متوازية ومتساوية
مكان النقاط في المستوى حيث قدر المطلق لفرق المسافات من أي نقطة في هذا المكان إلى نقطتين ثابتتين \( F_1 \) و \( F_2 \) (وتسمى هاتان النقطتان بقطبي النقطتين البؤرية) يساوي ثابتًا (ممثلاً بـ \( 2a \) ، مع \( 0 < 2a < |F_1F_2| \)) يسمى ____.,قطع زائد
أعد مجموعة من البيانات بترتيب تصاعدي (أو تنازلي). إذا كان عدد نقاط البيانات فرديًا، فإن الرقم الذي يقع في المركز هو ____ هذه المجموعة من البيانات.,медиانة
"بالنسبة لأي مجموعتين محدّدتين \( A \) و \( B \), إذا أردنا حساب عدد العناصر في اتحاد المجموعتين, فهذا العدد يساوي مجموع عدد العناصر في المجموعتين ____ عدد العناصر في تقاطعها.",ناقص
إذا كانت الزوايا المتناظرة لثلاثي الأضلاع متساوية و تكون أطوال أضلاعها المتناظرة متناسبة، فهذا يدل على أن مثلثي الأضلاع ____.,متشابهان
في مثلث قائم الزاوية، مساحة مربع أحد الأضلاع تساوي مجموع إسقاطه على الوتر و ____.,الوتر
توجد نقطة داخل المنشور الثلاثي بحيث تكون على مسافة متساوية من جميع جوانبه. ما تسمى هذه النقطة للمنشور الثلاثي؟,incenter
أربع زوايا المستطيل هي ____. （此句本身表意清晰，若严格按要求不改变任何内容，只能原样呈现） ,زوايا قائمة
"بالنسبة لأي عدد صحيح موجب \( n \), يوجد في المعادلة \( x^n = 1 \) بالضبط ____ حلول مركبة متميزة.",n
