"Известно, что $2^a = 5$ и $\log_8 3 = b$, тогда $4^{a - 3b}$ можно выразить как $\frac{m}{n}$, где $m$ и $n$ — взаимно простые положительные целые числа. Найдите $m + n$.",34
"В треугольнике $ABC$ стороны, лежащие напротив углов $A$, $B$ и $C$, обозначены соответственно как $a$, $b$ и $c$. Известно, что $a \sin B = \sqrt{3}\, b \cos A$, $c - 2b = 1$, $a = \sqrt{7}$. Найдите значение $c$.",3
"События \( A \) и \( B \) независимы, вероятность наступления события \( A \) равна \( P(A) = \frac{1}{2} \), а вероятность наступления события \( B \) равна \( P(B) = \frac{1}{3} \). Вероятность \( P(A \cap B) \) наступления события \( A \cap B \) может быть выражена в виде дроби \(\frac{m}{n}\), где \( m \) и \( n \) — взаимно простые положительные целые числа. Найдите \( m + n \).",7
"Определённый магазин, чтобы привлечь покупателей, готовит два приза. Каждый покупатель, который заходит в магазин и совершает покупку, может участвовать в лотерее. Как только оба приза будут разыграны, лотерея завершается. Правила лотереи следующие: в непрозрачном ящике находятся шары, которые извлекаются с возвращением (все шары одинаковы по размеру и массе). Извлечение красного шара означает «без выигрыша», а извлечение белого шара — «выиграл приз». Первоначально в ящике 2 белых шара и 3 красных шара. Участник случайным образом достаёт один шар из ящика. Если участник не выиграл приз, шар возвращается в ящик, и его участие в лотерее заканчивается; следующий покупатель начинает тянуть шар. Если участник выигрывает приз, шар также возвращается в ящик, и дополнительно в ящик добавляется один красный шар, после чего этот же покупатель тянет ещё раз. Если при втором извлечении он не выигрывает приз, шар возвращается в ящик, покупатель получает всего один приз, и следующий покупатель начинает тянуть шар. Если при втором извлечении он снова выигрывает приз, то покупатель получает оба приза, и вся лотерея завершается. Известно, что мероприятие пользуется большой популярностью, и покупатели будут участвовать до тех пор, пока оба приза не будут разыграны. Вероятность того, что второй и третий покупатели каждый выиграют ровно по одному призу, можно записать в виде дроби $\frac{m}{n}$, где $m$ и $n$ — взаимно простые целые числа. Найдите $m + n$.",79
"Пусть прямая $ l_1\colon x - y + 6 = 0 $ пересекает ось $ x $ в точке $ A $, ось $ y $ в точке $ B $, а окружность $ (x+1)^2 + (y-3)^2 = r^2 $ — в точках $ C $ и $ D $. Если $ |AB| = 3|CD| $, найдите $ r $.",2
"Точка \( (3a, 0) \) (\( a > 0 \)) является центром симметрии графика функции \( y = 2\tan\left(x - \frac{\pi}{3}\right) \). Наименьшее значение \( a \) можно выразить как \(\frac{\pi}{n}\), где \( n \) — целое число. Найдите \( n \).", 9
"В коробке находится 5 одинаковых шаров, пронумерованных числами от 1 до 5. Один шар вынимается из коробки три раза с возвращением. Пусть X — количество различных номеров, которые появляются хотя бы один раз среди трёх выборок. Математическое ожидание E(X) можно выразить в виде дроби m/n, где m и n — взаимно простые положительные целые числа. Найдите m + n.",86
Дано: \( (1 - 2x)^4 = a_0 - 3a_1 x + 4a_2 x^2 - 8a_3 x^3 + 16a_4 x^4 \). Чему равно значение \( a_0 \)?,1
"При определённых условиях время, необходимое для обучения большой языковой модели искусственного интеллекта на \( N \) единицах данных, составляет \( T = k\log_2 N \) (единица измерения: ч), где \( k \) — постоянная величина. Известно, что при увеличении объёма обучающих данных \( N \) с \( 10^6 \) до \( 1{,}024 \times 10^9 \) единиц время обучения возрастает на 20 ч. На сколько часов увеличится время обучения, когда объём обучающих данных \( N \) возрастёт с \( 1{,}024 \times 10^9 \) единиц до \( 8{,}192 \times 10^9 \) единиц?",6
"Пусть универсальное множество будет $U = \{x \mid x$ — положительное целое число, меньшее $9\},$ и пусть $A = \{1,\,3,\,5\}.$ Тогда количество элементов в $C_U A$ (дополнение $A$ в $U$) равно?",5
"Учитывая, что комплексное число \( z \) удовлетворяет условию \( \text{i} \cdot z + 2 = 2\text{i} \), величина \( |z| + 1 \) может быть выражена как \( m \sqrt{n} + p \). Найдите \( m+n+p \).",5
"Дано универсальное множество \( U = \{x \mid x \text{ — положительное целое число, меньшее 9}\} \) и множество \( A = \{1, 3\} \). Сколько элементов содержится в \( \complement_U A \)?",6
"Дана функция \( f(x) = \sin(\omega x + \varphi) \) (\( \omega > 0 \), \( -\pi < \varphi < \pi \)), монотонно возрастающая на отрезке \(\left[-\frac{5\pi}{12}, \frac{\pi}{12}\right]\). Кроме того, \( x = \frac{\pi}{12} \) — одна из её осей симметрии, а точка \( \left(\frac{\pi}{3}, 0\right) \) — один из её центров симметрии. Наименьшее значение \( f(x) \) при \( x \in \left[0, \frac{\pi}{6}\right] \) выражается как \(\sqrt{n}\). Найдите \( n \).",3
"Если $\dfrac{2}{x-1}$ представляет собой целое число, найдите количество возможных целых значений $x$.",4
"Имеется 5 автомобилей, которые нужно припарковать на 6 смежных парковочных местах. Грузовик A относительно широкий и при парковке должен занимать два соседних места, а автомобиль B нельзя парковать рядом с грузовиком A. Сколько всего существует различных способов парковки?",72
"Пусть \( a = C_{30}^1 + C_{30}^2 + \cdots + C_{30}^{30} \), \( a \equiv b \pmod{10} \), \( b \in \{2021, 2022, 2023, 2025\} \). Найдите \( b \).",2023
"В треугольной призме $ABC-A_1B_1C_1$ боковые рёбра перпендикулярны основанию, и все вершины лежат на одной сфере. Если $AB = AC = AA_1 = 2$ и $\angle BAC = 120^\circ$, то площадь поверхности этой сферы равна $N\pi$. Найдите $N$.",20
Есть 7 мужских спортсменов и 2 женщины-спортсменки. Сколько существует различных способов выбрать 2 человек для формирования команды в смешанном парном разряде по настольному теннису?,14
"Если $\cos\alpha + 2\sin\alpha = \frac{3\sqrt{5}}{5}$, то чему равен $|\tan\alpha|$?",2
"3 родителя и 3 ребёнка идут в поход. Эти 6 человек должны выстроиться в очередь так, чтобы в начале и в конце очереди стояли родители. Сколько существует различных способов расстановки?",144
Запишите десятичное представление числа $110110_2$.,54
"Прямая \( l_1: x - y + 6 = 0 \) пересекает ось \( x \) в точке \( A \), а ось \( y \) — в точке \( B \). Также она пересекает окружность \( (x + 1)^2 + (y - 3)^2 = r^2 \) (\( r > 0 \)) в точках \( C \) и \( D \). Известно, что \( |AB| = 3|CD| \). Найдите значение \( r \).",2
"Пусть гипербола \( C: \frac{x^2}{a^2} - \frac{y^2}{b^2} = 1 \) (\( a > 0 \), \( b > 0 \)) имеет левый и правый фокусы \( F_1 \) и \( F_2 \) соответственно. Проведём прямую, параллельную оси \( y \), через точку \( F_2 \), пересекающую гиперболу \( C \) в точках \( A \) и \( B \). Известно, что \( |F_1A| = 14 \) и \( |AB| = 8 \). Эксцентриситет \( e \) гиперболы \( C \) можно записать в виде \( \frac{m \sqrt n}{p} \), где \( m \), \( n \) и \( p \) — положительные целые числа, \( m \) и \( p \) взаимно просты, а \( n \) не делится на квадрат никакого простого числа. Найдите \( m+n+p \).",13
"В чём разница между модой и медианой чисел 12, 12, 12, 14 и 15?",0
"Дано универсальное множество \( U = \{1, 2, 3, 4, 5\} \), множество \( A = \{1, 3\} \) и множество \( B = \{2, 5\} \). Сколько элементов в множестве \( \complement_U (A \cup B) \)?",1
