x,x,x,x,x,x
x,x,x,x,x,x
"Jen participe à une loterie où elle choisit 4 nombres distincts dans l'ensemble S = {1, 2, 3, ..., N}. Ensuite, quatre nombres sont tirés au hasard dans S. Elle remporte un prix si au moins deux de ses nombres choisis se trouvent parmi les nombres tirés, et elle remporte le gros lot si les quatre nombres qu'elle a choisis sont exactement ceux qui ont été tirés. Sachant que la probabilité qu'elle remporte le gros lot étant donné qu'elle a gagné un prix est de 1/115, trouver la valeur de N.",8,12,10,9,C
x,x,x,x,x,x
"Huit cercles de rayon 34 sont tangents consécutivement, et chacun de deux de ces cercles est respectivement tangent aux côtés AB et BC du triangle ABC. Le rayon du cercle inscrit dans le triangle ABC est 192/5. On peut disposer des cercles de rayon 1 de la même manière. Trouver le nombre de ces cercles. ",2024,2020,2022,2026,A
"On définit la fonction $ f(x)=\left| |x|-\tfrac{1}{2} \right| $ et la fonction $ g(x)=\left| |x|-\tfrac{1}{4} \right| $. Soit $ N $ un entier tel que le graphe de la courbe est décrit par l'équation $ x = 4\, g(f(\cos(N\pi y))) $. On sait que les graphes des courbes définies respectivement par les équations $ y = 4\, g(f(\sin(2\pi x))) $ et $ x = 4\, g(f(\cos(N\pi y))) $ se croisent exactement 385 fois. Trouver la valeur de $ N $. ",1,3,4,2,B
x,x,x,x,x,x
"Soit (a, b, c) des entiers naturels tels que a + b + c = N et  
\[ a^2b + a^2c + b^2a + b^2c + c^2a + c^2b = 6\,000\,000 \].  
Sachant qu'il y a exactement 601 triplets (a, b, c) vérifiant ces conditions, déterminer N.",250,300,350,200,B
"Il y a des nombres réels $ x $ et $ y $, tous deux plus grands que 1, tels que $ xy = 25 $ et $ \log_x\left(y^x\right) = \log_y\left(x^{4y}\right) = N $. Trouver $ N $.",12,10,5,8,B
x,x,x,x,x,x
"Soit \( z \) un nombre complexe. On suppose que la plus grande valeur de la partie réelle de 
\[
(75+117i)z + \frac{96+144i}{z}
\]
est égale à 540. Trouver \( |z| \).",3,4,5,6,B
x,x,x,x,x,x
"Chaque matin, Aya fait une promenade de 9 kilomètres et s'arrête ensuite dans un café. Lorsque sa vitesse de marche est constante et égale à s kilomètres par heure, la promenade lui prend N heures, y compris t minutes passées dans le café. Lorsque sa vitesse de marche est de s + 2 kilomètres par heure, la promenade lui prend 2 heures et 24 minutes, toujours y compris t minutes passées dans le café. Supposons qu'Aya marche à une vitesse de s + 1/2 kilomètre par heure, et que la promenade lui prenne 204 minutes, incluant t minutes passées dans le café. Trouver N.",4,6,3,5,A
x,x,x,x,x,x
"Considérons les chemins monotones qui se déplacent seulement vers la droite ou vers le haut, allant du coin inférieur gauche au coin supérieur droit d'une grille N×N. Supposons que parmi ces chemins, le nombre de chemins qui changent de direction exactement quatre fois soit 294. Trouver N.",7,6,9,8,D
x,x,x,x,x,x
Soit B l'ensemble des pavés droits dont l'aire est $ N $ et le volume est égal à 23. Soit $ r $ le rayon de la plus petite sphère capable de contenir chacun des pavés appartenant à B. Supposons que $ r^2 = 657/64 $. Trouver $ N $.,50,54,52,56,B
x,x,x,x,x,x
"Soit un triangle $\triangle ABC$ dont le centre du cercle circonscrit est $O$ et le centre du cercle inscrit est $I$. On sait que $\overline{IA}\perp\overline{OI}$, que le rayon du cercle inscrit vaut $6$, et que $AB\cdot AC = 468$. Déterminer le rayon du cercle circonscrit.",10,15,20,13,D
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
"Soient $A$, $B$, $C$ et $D$ des points sur l'hyperbole $\frac{x^2}{N} - \frac{y^2}{24} = 1$ tels que le quadrilatère $ABCD$ soit un losange dont les diagonales se croisent à l'origine. Le plus grand nombre réel strictement inférieur à $BD^2$ pour tous ces losanges est 480. Trouver $N$.",10,20,40,30,B
"Une liste composée d'entiers positifs a les caractéristiques suivantes :  
- Le mode unique de cette liste est 9.  
- La médiane de la liste est un entier positif qui n'est pas présent dans la liste.  
- La somme des carrés de tous les éléments de la liste vaut 236.  
Calculer la somme des éléments de la liste.",30,25,28,32,A
"Parmi les 900 habitants d'Aimeville, 195 ont une bague en diamant, 367 ont un jeu de clubs de golf et 562 ont une bêche de jardin. De plus, chacun des 900 habitants a un sac de bonbons en forme de cœur. Il y a 234 habitants qui ont exactement trois de ces objets, et le nombre d'habitants qui ont les quatre objets est de 73. Trouver le nombre d'habitants d'Aimeville qui ont exactement deux de ces objets.",325,512,489,437,D
"Soit ABC un triangle inscrit dans un cercle ω. Les tangentes à ω en B et C se rencontrent au point D, et la droite AD coupe ω en P. Si BC = 9, AC = 10 et AP = 100/13, déterminer AB.",12,6,8,5,D
"Le tore T est obtenu en faisant pivoter un cercle de rayon 3 autour d'un axe coplanaire distant de 6 du centre du cercle. Soit S une sphère. Quand T est mis à l'intérieur de S, il est tangent intérieurement le long d'un cercle de rayon r_i ; quand T est mis à l'extérieur de S, il est tangent extérieurement le long d'un cercle de rayon r_o. On sait que r_i - r_o = 99/28. Trouver le rayon de S.",11,10,13,12,A
x,x,x,x,x,x
"Les rectangles ABCD et EFGH sont tracés de manière à ce que les points D, E, C, F soient alignés. En outre, les points A, D, H, G se situent tous sur un même cercle. Si BC = 16, AB = 107, CE = 104 et EF = 184, quelle est la longueur de FG ?",15,21,17,19,C
x,x,x,x,x,x
