函数 y = log_a x（其中 a > 0 且 a ≠ 1）被称为什么？,幂函数,指数函数,对数函数,三角函数,C
被称作什么的是形如 y = kx + b 的直线方程？,截距式方程,斜截式方程,点斜式方程,两点式方程,B
等式P(A|B) = P(A)P(B|A) / P(B)被称作什么？,贝叶斯公式,全概率公式,加法公式,乘法公式,A
"在数列的一般形式 a₁, a₂, a₃, … 里，aₙ被称作什么？ ",中项,后项,通项,前项,C
什么样的直线与圆只有一个公共点？,圆的切线,圆的割线,圆的弦,圆的半径,A
什么是使f(x)=0的实数x？,函数f的最值点,函数f的零点,函数f的驻点,函数f的极值点,B
概率满足0 ≤ P(A) ≤ 1这一性质被叫做什么？,非负性,有限可加性,可列可加性,规范性,A
当Δ小于0时，方程的实根情况怎样？,有两个相等实根,有一个实根,有两个不等实根,无实根,D
被称为函数 y = a^x（a > 0 且 a ≠ 1）的函数叫什么？,对数函数,幂函数,三角函数,指数函数,D
以自然常数 e 为底的指数被称作什么？,对数指数,e 指数,幂指数,π 指数,B
什么样的复数实部为0且虚部不为0？,实数,零虚数,实虚数,纯虚数,D
在组合数的递推关系 C_n^m + C_n^{m+1} = ？ 里，问号处应填入哪一项？ ,C_{n - 1}^{m+1},C_{n}^{m + 2},C_{n+1}^{m},C_{n+1}^{m+1},D
表达式Δ=b² - 4ac被叫做什么？,系数,判别式,常数,根式,B
一个方程的所有解所组成的集合被称为什么？,方程的解集,方程的根集,方程的解群,方程的解簇,A
排列数\(A_n^n\)的结果是什么？,n(n - 1),n!,(n + 1)!,(n - 1)!,B
当n是正整数时，(a+b)^n = C_n^0 a^n + C_n^1 a^{n-1}b + ... + C_n^k a^{n-k}b^k + ... + C_n^n b^n 这个结论被称为什么定理？,等比数列定理,三角函数定理,二项式定理,等差数列定理,C
什么是空间中到定点距离等于定长的点的集合？,球面,圆柱面,圆锥面,圆,A
用什么符号表示从n个不同对象中取出m个对象的组合数？,C_n^m,C_m^n,P_n^m,A_n^m,A
圆和直线相切的充要条件是什么？,圆心到直线的距离小于半径,圆心到直线的距离等于半径,圆心到直线的距离大于半径,直线经过圆上一点,B
当m和n相等时的排列称为什么？,错位排列,环形排列,部分排列,全排列,D
被称为形如ax²+bx+c>0（或<0、≥0、≤0），其中a≠0的不等式叫什么？ ,一元一次不等式,一元二次不等式,分式不等式,二元一次不等式,B
当一个等式含有字母，并且其中的字母取任意实数时该等式都成立，这样的等式称为什么？,不等式,矛盾等式,条件等式,恒等式,D
双曲线的焦距是多少？,2b,2c,c,2a,B
什么是方差的算术平方根？,中位数,平均数,标准差,极差,C
一元二次方程的判别式Δ的值是由什么来表示的？ ,b² + 4ac,4ac - b²,b²-4ac,2b - 4ac,C
什么样的直线与圆有两个公共点？,圆的半径,圆的割线,圆的弦,圆的切线,B
在一元二次方程的求根公式里，b² - 4ac用什么符号来表示？ ,Δ,α,γ,β,A
空间向量的加法满足何种运算律？,对称律和传递律,幂等律和吸收律,分配律和消去律,交换律和结合律,D
什么是能使方程左右两边相等的未知数的值？,方程的项,方程的系数,方程的次数,方程的解（根）,D
"被称作什么的数是形如z = a + bi（a,b∈R）的数？",实数,虚数,有理数,复数,D
