Quelle droite sont les graphes de la fonction exponentielle \( y = a^x \) et de la fonction logarithmique \( y = \log_a x \) symétriques par rapport à?,y = 0,x = 0,y = -x,y=x,D
La condition nécessaire et suffisante pour qu'une fonction \( f(x) \) soit différentiable au point \( x_0 \) est que la dérivée à gauche et la ____ de \( f(x) \) en \( x_0 \) existent toutes les deux et soient égales.,dérivée d'ordre deux,dérivée de fonction composée,dérivée de fonction inverse,dérivée à droite,D
"Supposons que \( A \) et \( B \) soient deux évènements aléatoires. Si \( P(A|B) = P(A) \) (ou \( P(B|A) = P(B) \), et \( P(A) > 0 \), \( P(B) > 0 \)), alors les évènements \( A \) et \( B \) sont dits mutuellement ____.",complémentaires,dépendants,exclusifs,indépendants,D
"Si une position non terminale a au moins une position subséquente qui est une position P, alors cette position est une _____.",R-position,Q-position,N-position,P-position,C
Une tangente à un cercle est une droite qui touche le cercle en ____ point.,un,trois,aucun,deux,A
"Si la fonction interne \( u = g(x) \) est strictement croissante sur l'intervalle \( I \), et que la fonction externe \( y = f(u) \) est également strictement croissante sur l'intervalle correspondant \( g(I) \) (l'image de \( g(x) \) sur \( I \)), alors la fonction composée \( y = f(g(x)) \) est ____ sur \( I \).",oscillante,non monotone,strictement décroissante,strictement croissante,D
"À partir de \(n\) éléments distincts, sélectionner n'importe quels \(m\) éléments \((m \leqslant n)\) en tant que groupe est appelé un ___ de \(m\) éléments choisis parmi \(n\) éléments distincts.",arrangement,combinaison,permutation,suite,B
"Si deux angles sont respectivement supplémentaires à deux angles égaux, alors les deux angles sont ____.",complémentaires,égaux,supplémentaires,inégaux,B
\(\log_a \frac{M}{N}\) est égal à \(\log_a M\) ____ \(\log_a N\),multiplié par,divisé par,moins,plus,C
"Élever \( a \) à la puissance « du logarithme de \( N \) en base \( a \) », et le résultat est ____.",a,N,logₐN,1,B
"Les nombres de la forme \( z = a + bi \) sont appelés nombres complexes, où \( a \) est la partie réelle du nombre complexe \( z \), et \( b \) est appelée le ____ du nombre complexe \( z \).",real coefficient,partie imaginaire,partie imaginaire pure,coefficient complexe,B
"Si les chiffres des centaines, des dizaines et des unités d'un nombre à trois chiffres sont respectivement \(a\), \(b\) et \(c\), alors le nombre est ____ + \(10b\) + \(c\).",10a,a,1000a,100a,D
La relation de base dans les problèmes de déplacement : Distance = Vitesse * ____.,Volume,Accélération,Temps,Surface,C
"Si un entier a peut être divisé par un autre entier b sans reste, alors on dit que a est ____ par b.",indivisible,diviseur,divisible,dividende,C
"Si on a 3 plans mutuellement exclusifs pour accomplir une tâche, avec \( n_1 \) façons dans le 1er plan, \( n_2 \) façons dans le 2ème plan et \( n_3 \) façons dans le 3ème plan, alors le nombre total de façons d'accomplir la tâche est ____.",\(n_1\times n_2\times n_3\),\(n_1 - n_2 - n_3\),\(\frac{n_1 + n_2 + n_3}{3}\),\( n_1 + n_2 + n_3 \),D
"Si le polynôme \( f(x) \) est divisé par le polynôme linéaire \( (x - a) \), le reste est une constante, et cette constante est égale à ____.",\(f(0)\),\(f(-a)\),\(f(1)\),\(f(a)\),D
"Si une droite est parallèle à un plan, et qu'un plan passant par cette droite coupe le plan initial, alors la droite est ____ la droite d'intersection.",perpendiculaire à,"sécante à (en français, on utilise généralement ""sécante"" pour décrire les droites non coplanaires, mais ""skew"" n'a pas exactement d'équivalent direct, ""sécante"" est une approximation)",parallèle à,en intersection avec,C
"Dans un triangle rectangle dans un plan, la somme des carrés des deux côtés adjacents à l'angle droit est ____ au carré de l'hypoténuse.",supérieur à,égal à,inférieur à,sans rapport avec,B
"Si deux triangles ont leurs côtés correspondants proportionnels, alors leurs angles intérieurs correspondants sont ____.",égaux,complémentaires,supplémentaires,inégaux,A
"Prendre tous les \( n \) éléments distincts pour les organiser (c'est-à-dire ""choisir tous les éléments pour les classer"") s'appelle une ____ des \( n \) éléments.",sous - ensemble,combinaison,probabilité,permutation,D
"Dans le système de numération en base n, le plus grand chiffre unique est ____.",n + 1,n - 1,n,n/2,B
Les deux paires de côtés opposés d'un parallélogramme sont respectivement ____.,parallèles et égaux,perpendiculaires et égaux,parallèles et perpendiculaires,égaux et sécants,A
"L'ensemble des points d'un plan pour lesquels la valeur absolue de la différence des distances à deux points fixes \( F_1 \) et \( F_2 \) (appelés foyers) est égale à une constante (notée \( 2a \), avec \( 0 < 2a < |F_1F_2| \)) est appelé un(e) ____.",parabole,hyperbole,ellipse,cercle,B
"Rangez un ensemble de données dans l'ordre croissant (ou décroissant). Si le nombre de points de données est impair, le nombre à la position médiane est le ____ de cet ensemble de données.",mean,médiane,étendue,mode,B
"Pour tout deux ensembles finis \( A \) et \( B \), le nombre d'éléments dans leur union est égal à la somme du nombre d'éléments dans les deux ensembles ____ le nombre d'éléments dans leur intersection.",moins,plus,divisé par,multiplié par,A
"Si les angles correspondants de deux triangles sont égaux et leurs côtés correspondants sont proportionnels, alors les deux triangles sont ____.",équilatéraux,congruents,isocèles,semblables,D
"Dans un triangle rectangle, le carré d'un catété est égal au produit de sa projection sur l'hypoténuse et du ____.",hypoténuse,médiane relative à l'hypoténuse,autre catété,hauteur relative à l'hypoténuse,A
Il existe un point à l'intérieur d'un tétraèdre qui est à égale distance de toutes ses faces. Ce point est appelé le ____ du tétraèdre.,centroid,orthocentre,centre du cercle inscrit,centre du cercle circonscrit,C
Tous les quatre angles d'un rectangle sont ____.,angles droits,angles obtus,angles plats,angles aigus,A
"Pour tout entier positif \( n \), l'équation \( x^n = 1 \) a exactement ____ solutions complexes distinctes.",2n,n + 1,n,n - 1,C
