"Lors de la préparation de matériaux nanométriques de graphène, il est nécessaire de recourir à la technique de diffusion laser pour surveiller le degré d'agglomération des nanoparticules. Lorsque l'indice d'agglomération est en phase de croissance, lorsque l'intensité de la lumière diffusée atteint le seuil de détection, le nombre d'agglomérats de particules $Yₜ$ et le temps de traitement ultrasonique $t$ (en minutes) sont liés par la relation $\lg Yₜ=t\cdot\lg(1 + k)+\lg Y₀$, où $Y₀$ est le nombre initial de particules et $k$ est la constante de vitesse d'agglomération. Maintenant, pour un échantillon, après 6 minutes de traitement ultrasonique, le nombre d'agglomérats est devenu 100 fois le nombre initial de particules. Alors, la constante de vitesse d'agglomération $k =$ ___%. (Arrondir le résultat à un décimal, données de référence : $10^{\frac{1}{3}}\approx2.154$, $10^{\frac{1}{4}}\approx1.778$)","11,5","177,8","115,4","215,4",C
"Il y a une fonction $f(x)=\frac{1}{3}ax^{3}-x^{2}+a^{2}x+1$. Lorsque la variable $x$ prend la valeur $1$, la fonction $f(x)$ atteint un maximum local. Alors, la valeur de $a$ est ___",-2,1,0,2,A
"Il y a 6 cartes. Sur la face avant de chaque carte est écrit un nombre parmi 1, 2, 3, 4, 5, 6, et sur la face arrière est écrit le nombre 7. Au début, ces cartes sont disposées en ordre avec les faces avant vers le haut, c'est - à - dire que sur la i - ème position se trouve la carte avec le nombre $\mathrm{i(i = 1,2,3,4,5,6)}$ écrit dessus. Ensuite, on lance un dé équilibré. Si le nombre de points sur le dé est $n$, on retourne la carte sur la n - ème position et on la remet à sa place. On effectue cette expérience 3 fois. On constate que la somme des nombres sur les faces des cartes vers le haut est un nombre pair. Dans cette condition, quelle est la probabilité que le dé ait montré le nombre 3 exactement une fois?",\(\frac{1}{4}\),\(\frac{3}{7}\),\(\frac{1}{3}\),\(\frac{2}{5}\),C
"On sait que le rayon du cercle de Monge correspondant à l'ellipse \(\frac{x^2}{3}+y^2=1\) est calculé par \(\sqrt{3 + 1}\), et le résultat est 2. Autrement dit, l'équation du cercle de Monge est \(x^2 + y^2 = 4\). Maintenant, il y a un cercle dont l'équation est \((x - 2)^2 + (y - b)^2 = 9\). Ce cercle et le cercle de Monge ci - dessus n'ont qu'un seul point commun. Alors, la valeur du nombre réel \(b\) est _____.",\(\pm\sqrt{21}\),\(\pm\sqrt{23}\),\(\pm\sqrt{19}\),\(\pm\sqrt{15}\),A
"Il y a un losange $ABCD$ dont le côté mesure $1$ et l'angle $\angle DAB$ vaut $60^{\circ}$. Le point $E$ est le milieu du côté $BC$. La droite $AE$ et la droite $BD$ se coupent en un point $F$. Alors, la valeur de $\overrightarrow{AF}\cdot\overrightarrow{AB}$ est égale à ___",\(\frac{1}{2}\),\(\frac{3}{4}\),\(\frac{5}{6}\),\(\frac{2}{3}\),C
"Sur l'intervalle [-2π,2π], trouver le nombre de points d'intersection de la courbe de la fonction y = sin2x et de la courbe de la fonction y = sin(x/2) est ___",10,8,7,9,D
"Il y a 6 cartes. Sur la face avant de chaque carte, il est écrit respectivement les nombres 1, 2, 3, 4, 5, 6, tandis que sur la face arrière de chaque carte, il est écrit le nombre 7. Au départ, on dispose ces cartes face avant vers le haut en une rangée, et on place la carte portant le nombre $\mathrm{i}$ à la $\mathrm{i}$-ème position ($\mathrm{i = 1, 2, 3, 4, 5, 6}$). Ensuite, on lance un dé équilibré. Si le nombre de points au-dessus du dé est $\mathrm{n}$, on retourne la carte à la $\mathrm{n}$-ème position puis on la remet à sa place. On effectue cette expérience 3 fois et on constate que la somme des nombres des cartes face vers le haut est un nombre pair. Dans cette condition, quelle est la probabilité que le dé ait exactement une fois le nombre de points égal à 3?",\frac{2}{5},\frac{1}{3},\frac{1}{4},\frac{1}{5},B
"On sait qu'il y a deux nombres réels positifs a et b, c'est-à-dire a > 0, b > 0, et la somme de ces deux nombres est 2, c'est-à-dire a + b = 2. Alors, la valeur maximale que ab peut atteindre est ___",4,2,3,1,D
"En mars 2011, la mer au nord - est du Japon a été touchée par un tremblement de terre de magnitude 9,0 sur l'échelle de Richter. Le 12 mai 2008, un tremblement de terre de magnitude 8,0 sur l'échelle de Richter s'est produit à Wenchuan en Chine. Alors, l'énergie libérée par ce tremblement de terre au large du nord - est du Japon est ___ fois celle libérée par le tremblement de terre de Wenchuan (arrondi à l'entier le plus proche). (Note : lgE = 4,8 + 1,5M, √2 ≈ 1,414, √10 ≈ 3,162)",16,64,32,20,C
"On a défini une opération sur les ensembles. On stipule que $A*B$ est l'ensemble formé par les éléments qui appartiennent à l'ensemble $A$ mais pas à l'ensemble $B$. Maintenant, on sait que l'ensemble $A = \{1,3,5,7\}$ et l'ensemble $B = \{2,3,5\}$. Combien y a-t-il de sous-ensembles de l'ensemble $A*B$?",16,4,2,8,B
