x,x,x,x,x,x
x,x,x,x,x,x
"تشارك جين في سحب يانصيب عن طريق اختيار 4 أرقام مختلفة من المجموعة S={1,2,3,...,N}. يتم اختيار 4 أرقام عشوائيًا من المجموعة S. تفوز بجائزة إذا تطابق رقمان على الأقل من أرقامها مع الأرقام المختارة عشوائيًا، وتفوز بالجائزة الكبرى إذا تطابقت جميع أرقامها الأربعة مع الأرقام المختارة عشوائيًا. إذا كانت احتمال فوزها بالجائزة الكبرى بشرط أن تكون قد فازت بجائزة ما هو 1/115، فأوجد قيمة N.",8,12,10,9,C
x,x,x,x,x,x
توجد ثمانية دوائر نصف قطرها 34 مماسة تباعًا، ويكون اثنان من هذه الدوائر مماسين للضلعين AB وBC في المثلث ABC على التوالي. نصف قطر الدائرة الداخلية للمثلث ABC هو 192/5. يمكن ترتيب دوائر بنصف قطر 1 بنفس الطريقة. أوجد عدد هذه الدوائر.,2024,2020,2022,2026,A
عرف الدالة $f(x)=|| x|-\tfrac{1}{2}|$ والدالة $g(x)=|| x|-\tfrac{1}{4}|$. ليكن $N$ العدد الصحيح بحيث تكون المعادلة الثانية هي $x=4 g(f(\cos(N\pi y)))$. من المعروف أن رسوم المعادلتين $y=4 g(f(\sin(2\pi x)))$ و $x=4 g(f(\cos(N\pi y)))$ تتقاطع تمامًا 385 مرة. أوجد $N$.,1,3,4,2,B
x,x,x,x,x,x
"ليكن (a,b,c) أعدادًا صحيحة غير سالبة تحقق a+b+c=N و  
\[a^2b + a^2c + b^2a + b^2c + c^2a + c^2b = 6,000,000\].  
مع علم أن هناك بالضبط 601 ثلاثية كهذه، فأوجد N.",250,300,350,200,B
توجد أعداد حقيقية \( x \) و\( y \)، كلاهما أكبر من 1، بحيث \( xy = 25 \) و\( \log_x\left(y^x\right) = \log_y\left(x^{4y}\right) = N \). أوجد \( N \).,12,10,5,8,B
x,x,x,x,x,x
"ليكن \( z \) عددًا مركبًا. نفترض أن أكبر قيمة ممكنة للجزء الحقيقي للعبارة  
\[(75+117i)z + \frac{96+144i}{z}\]  
تساوي 540. احسب \( |z| \).",3,4,5,6,B
x,x,x,x,x,x
