函数 y = log_a x（其中 a > 0 且 a ≠ 1）被称为什么？,对数函数
被称作什么的是形如 y = kx + b 的直线方程？,斜截式方程
等式P(A|B) = P(A)P(B|A) / P(B)被称作什么？,贝叶斯公式
"在数列的一般形式 a₁, a₂, a₃, … 里，aₙ被称作什么？ ",通项
什么样的直线与圆只有一个公共点？,圆的切线
什么是使f(x)=0的实数x？,函数f的零点
概率满足0 ≤ P(A) ≤ 1这一性质被叫做什么？,非负性
当Δ小于0时，方程的实根情况怎样？,无实根
被称为函数 y = a^x（a > 0 且 a ≠ 1）的函数叫什么？,指数函数
以自然常数 e 为底的指数被称作什么？,e 指数
什么样的复数实部为0且虚部不为0？,纯虚数
在组合数的递推关系 C_n^m + C_n^{m+1} = ？ 里，问号处应填入哪一项？ ,C_{n+1}^{m+1}
表达式Δ=b² - 4ac被叫做什么？,判别式
一个方程的所有解所组成的集合被称为什么？,方程的解集
排列数\(A_n^n\)的结果是什么？,n!
当n是正整数时，(a+b)^n = C_n^0 a^n + C_n^1 a^{n-1}b + ... + C_n^k a^{n-k}b^k + ... + C_n^n b^n 这个结论被称为什么定理？,二项式定理
什么是空间中到定点距离等于定长的点的集合？,球面
用什么符号表示从n个不同对象中取出m个对象的组合数？,C_n^m
圆和直线相切的充要条件是什么？,圆心到直线的距离等于半径
当m和n相等时的排列称为什么？,全排列
被称为形如ax²+bx+c>0（或<0、≥0、≤0），其中a≠0的不等式叫什么？ ,一元二次不等式
当一个等式含有字母，并且其中的字母取任意实数时该等式都成立，这样的等式称为什么？,恒等式
双曲线的焦距是多少？,2c
什么是方差的算术平方根？,标准差
一元二次方程的判别式Δ的值是由什么来表示的？ ,b²-4ac
什么样的直线与圆有两个公共点？,圆的割线
在一元二次方程的求根公式里，b² - 4ac用什么符号来表示？ ,Δ
空间向量的加法满足何种运算律？,交换律和结合律
什么是能使方程左右两边相等的未知数的值？,方程的解（根）
"被称作什么的数是形如z = a + bi（a,b∈R）的数？",复数
