أي خط تكون بيانيه الدالة الأسية \( y = a^x \) والدالة اللوغاريتمية \( y = \log_a x \) متقارنين حوله؟,y=x
الشرط الكافي والضروري لدالة \( f(x) \) لتكون قابلة للاشتقاق عند النقطة \( x_0 \) هو أن المشتق الأيسر و ____ لـ \( f(x) \) عند \( x_0 \) كلاهما موجودان ومتساويان.,المشتق الأيمن
"فرضًا أن \( A \) و \( B \) هما حدثان عشوائيان. إذا كان \( P(A|B) = P(A) \) (أو \( P(B|A) = P(B) \), و \( P(A) > 0 \), \( P(B) > 0 \)), فهذا يعني أن الأحداث \( A \) و \( B \) تكونا متباعدة ____.",مستقلة
إذا كان للموقف غير النهائي على الأقل موضع واحد لاحق هو موضع P، فهذا الموقف هو _____.,N-position
أشِعاع الدائرة هو خط يلامس الدائرة في ____ نقطة.,واحد
"إذا كانت الدالة الداخلية \( u = g(x) \) متزايدة بشكل أحادي على الفترة \( I \), وكانت الدالة الخارجية \( y = f(u) \) متزايدة بشكل أحادي أيضًا على الفترة المقابلة \( g(I) \) (نطاق \( g(x) \) على \( I \)), فهذه الدالة المركبة \( y = f(g(x)) \) تكون ____ على \( I \).",تزايد أحادي
من عناصر مميزة \(n\)، فإن اختيار أي عناصر \(m\) \((m \leqslant n)\) كجروب يسمى ___ من عناصر \(m\) مختارة من عناصر مميزة \(n\).,مجموعة
إذا كان كل من زاويتين مكملاً لزاويتين متساويتين على التوالي، فهذه الزاويتان ____.,متساويتان
\(\log_a \frac{M}{N}\) يساوي \(\log_a M\) ____ \(\log_a N\),ناقص
"رفع \( a \) إلى قوة ""لوغاريتم \( N \) باساس \( a \)"", ونتيجة ذلك هي ____.",N
الأرقام على الشكل \( z = a + bi \) تسمى الأرقام المركبة، حيث \( a \) هي الجزء الحقيقي للرقم المركب \( z \)، و \( b \) تسمى ____ للرقم المركب \( z \).,الجزء الافتراضي
إذا كانت الأرقام المئوية وعشرية ووحدة لرقم ثلاثي الأرقام هي \(a\) و \(b\) و \(c\) على التوالي، فإن الرقم يساوي ____ + \(10b\) + \(c\).,100a
العلاقة الأساسية في مسائل السفر: المسافة = السرعة * ____.,الوقت
إذا كان عدد صحيح a يمكن أن يُقسم على عدد صحيح آخر b بدون باقي، فهذا يعني أن a هو ____ على b.,قابل للقسمة
إذا كان هناك 3 خطط متباعدة لاستكمال مهمة، مع \( n_1 \) طريقة في الخطة الأولى، \( n_2 \) طريقة في الخطة الثانية، و \( n_3 \) طريقة في الخطة الثالثة، فإن العدد الإجمالي للطرق لاستكمال المهمة هو ____.,\( n_1 + n_2 + n_3 \)
"إذا تم تقسيم كثير الحدود \( f(x) \) على كثير الحدود الخطي \( (x - a) \), فإن الباقي هو ثابت, وهذا الثابت يساوي ____.",\(f(a)\)
إذا كان خطًا متوازيًا مع مستوى ما، وقطع مستوى يمر عبر هذا الخط بالمستوى الأصلي، فهذا الخط يكون ____ خط التقاطع.,متوازيًا مع
في مثلث قائم الزاوية في المستوى، مجموع مربعات الساقين ____ مربع الوتر.,يساوي
إذا كان لثلاثة أشكال مثلثة الأضلاع المتوافقة تناسبًا، فإن زوايا الداخل المتوافقة لها ____.,متساوية
"خذ جميع العناصر المتميزة \( n \) للترتيب (أي ""اختيار جميع العناصر للترتيب"") يسمى ____ للعناصر \( n \).",ترتيب
في نظام الأرقام الساقط n، فإن أكبر رقم فردي هو ____.,n - 1
شكل متوازي الأضلاع (مربّع متوازي الأضلاع) له أضلاع متقابلة زوجين متوازية ومتساوية على التوالي ____.,متوازية ومتساوية
مكان النقاط في المستوى حيث قدر المطلق لفرق المسافات إلى نقطتين ثابتتين \( F_1 \) و \( F_2 \) (تسمى بقطبي النقطتين البؤرية) يساوي ثابتًا (ممثلاً بـ \( 2a \) ، مع \( 0 < 2a < |F_1F_2| \)) يسمى ____.,قطع زائد
أعد مجموعة من البيانات بترتيب تصاعدي (أو تنازلي). إذا كان عدد نقاط البيانات فرديًا، فإن الرقم في المركز هو ____ هذه المجموعة من البيانات.,медиانة
"بالنسبة لأي مجموعتين محدّدتين \( A \) و \( B \), فإن عدد العناصر في اتحادها يساوي مجموع عدد العناصر في المجموعتين ____ عدد العناصر في تقاطعها.",ناقص
إذا كانت الزوايا المتناظرة لثلاثي الأضلاع متساوية و أطوال أضلاعها المتناظرة متناسبة، فهذا يعني أن مثلثي الأضلاع ____.,متشابهان
في مثلث قائم الزاوية، مساحة مربع أحد الأضلاع مساوية لمجموع إسقاطه على الوتر و ____.,الوتر
توجد نقطة داخل المنشور الثلاثي التي تكون على مسافة متساوية من جميع وجهاته. تسمى هذه النقطة ____ للمنشور الثلاثي.,incenter
أربع زوايا المستطيل هي ____.,زوايا قائمة
"بالنسبة لأي عدد صحيح موجب \( n \), فإن المعادلة \( x^n = 1 \) لها بالضبط ____ حلول مركبة متميزة.",n
