"При изготовлении графеновых наноматериалов необходимо использовать технологию лазерного рассеяния для мониторинга степени агрегации наночастиц. На стадии роста агрегационного индекса, когда интенсивность рассеянного света достигает порога детектирования, количество частиц-агрегатов $Y_t$ и время ультразвуковой обработки $t$ (в минутах) связаны соотношением $\lg Y_t = t\cdot\lg(1 + k)+\lg Y_0$, где $Y_0$ - начальное количество частиц, а $k$ - константа скорости агрегации. Имеется образец, после 6-минутной ультразвуковой обработки количество агрегатов стало в 100 раз больше, чем начальное количество. Тогда константа скорости агрегации $k =$ ___%. (Результат округлить до одного знака после запятой. Справка: $10^{\frac{1}{3}}\approx 2.154$, $10^{\frac{1}{4}}\approx 1.778$)",115.4
"Имеется функция $f(x)=\frac{1}{3}ax^{3}-x^{2}+a^{2}x+1$. Когда аргумент $x$ равен $1$, эта функция $f(x)$ достигает максимального значения. Тогда значение $a$ равно___",-2
"Есть 6 карточек. На их лицевой стороне написаны числа 1, 2, 3, 4, 5, 6, а на оборотной - число 7. Сначала эти карточки выложены лицевой стороной вверх в порядке, то есть на $i$-ой позиции лежит карточка с цифрой $\mathrm{i(i = 1,2,3,4,5,6)}$. Затем бросается правильный кубик. Если выпавшее число на кубике равно $n$, то карточку на $n$-ой позиции переворачивают и возвращают на место. Проводится такая эксперимент 3 раза, и в результате оказывается, что сумма чисел на лицевых сторонах карточек четная. Найти вероятность того, что на кубике ровно один раз выпало число 3.",\frac{1}{3}
"Известно, что радиус окружности Монжа, соответствующей эллипсу \(\frac{x^2}{3}+y^2=1\), вычисляется по формуле \(\sqrt{3 + 1}\), и результат равен 2. То есть, уравнение окружности Монжа имеет вид \(x^2 + y^2 = 4\). Теперь есть окружность с уравнением \((x - 2)^2 + (y - b)^2 = 9\), которая имеет ровно одну общую точку с указанной выше окружностью Монжа. Тогда значение вещественного числа \(b\) равно _____.",\(\pm\sqrt{21}\)
"Дан ромб $ABCD$ с стороной длиной 1, причем $\angle DAB = 60^{\circ}$. Точка $E$ является серединой стороны $BC$, отрезки $AE$ и $BD$ пересекаются в точке $F$. Тогда значение $\overrightarrow{AF}\cdot\overrightarrow{AB}$ равно ___",\frac{5}{6}
"На интервале $[-2\pi,2\pi]$ найдите количество точек пересечения графика функции $y = \sin2x$ с графиком функции $y = \sin(\frac{x}{2})$.",9
"Есть 6 карточек. На их лицевой стороне написаны числа 1, 2, 3, 4, 5, 6, а на оборотной - число 7. Сначала эти карточки выкладываются лицевой стороной вверх в ряд так, чтобы на i - й позиции находилась карточка с числом i (i = 1, 2, 3, 4, 5, 6). Затем бросается правильный кубик. Если выпавшее число на кубике равно n, то карточку на n - й позиции переворачивают и возвращают на прежнее место. Проводится такая эксперимент 3 раза. В результате сумма чисел на верхних сторонах карточек оказывается четной. При этом условии, найти вероятность того, что на кубике ровно один раз выпало число 3.",\frac{1}{3}
"Даны два положительных вещественных числа a и b, то есть a > 0, b > 0, и сумма этих двух чисел равна 2, то есть a + b = 2. Тогда максимальное значение, которое может принять ab, равно ____.",1
"В марте 2011 года северо - восточные морские районы Японии столкнулись с землетрясением магнитуды 9,0 по шкале Рихтера. 12 мая 2008 года в Вэньчжуане нашей страны произошло землетрясение магнитуды 8,0 по шкале Рихтера. Сколько раз энергия, высвобожденная при этом землетрясении в северо - восточных морских районах Японии, превышает энергию, высвобожденную при землетрясении в Вэньчжуане (округлить до целого)? (Примечание: lgE = 4,8 + 1,5M, √2≈1,414, √10≈3,162)",32
"Определена некоторая операция над множествами. Согласно определению, множество $A*B$ состоит из тех элементов, которые принадлежат множеству $A$, но не принадлежат множеству $B$. Известно, что множество $A = \{1, 3, 5, 7\}$, а множество $B = \{2, 3, 5\}$. Тогда количество подмножеств множества $A*B$ равно ___",4
