関数 $ y = \log_a x $（$ a > 0 $，$ a \neq 1 $）はどのような名称で呼ばれますか？,対数関数
y = kx + b の形をした直線の方程式は、何と名付けられていますか？,斜め切片形式の方程式
等式P(A|B) = P(A)P(B|A) / P(B)被称作什么呢？ ,ベイズの公式
"数列の一般形 $ a_1, a_2, a_3, \cdots $ では、$ a_n $ は何と呼ばれますか？",一般項
円と共有点がただ一つだけある直線は何と呼ばれますか？,円の接線
関数f(x)の値を0にする実数xは何と呼ばれますか？,関数fの零点
確率が 0 ≤ P(A) ≤ 1 という性質を満たすことを何と呼ばれますか？,非負性
Δ < 0 の場合、方程式の実数解の状況はどうなりますか？,実数解はありません
関数 y = a^x（a > 0 且 a ≠ 1）はどのような名称で呼ばれますか？,指数関数
自然対数の底 e を底とする指数関数は何と呼ばれますか？ ,e 指数
実部が0で、虚部が0ではない複素数は何と呼ばれますか？,純虚数
組み合わせ数の漸化式 \( C_n^m + C_n^{m+1} \) の結果は何になるか、つまり、この式の右辺にはどの項を入れるべきですか？ ,\(C_{n+1}^{m+1}\)
式Δ = b² - 4acは何と呼ばれるのですか？,判別式
1つの方程式のすべての解から構成される集合は何と呼ばれますか？,方程式の解集合
$A_n^n$は何に等しいですか？（此题目本身表述较为简洁规范，若严格按要求不改变任何内容，只能是原样呈现，若可适当微调表述，也可写成：$A_n^n$はどんな値に等しいですか？ ） ,n!
正の整数 $n$ の場合、$(a + b)^n = C_n^0 a^n + C_n^1 a^{n - 1}b + \cdots + C_n^k a^{n - k}b^k + \cdots + C_n^n b^n$ という結論は何と呼ばれていますか？,二項定理
空間内で、定点からの距離が定長に等しい点の集合は何と呼ばれますか？,球面
n個の異なる対象の中からm個の対象を選び出す組み合わせ数はどの記号で表されますか？,C_n^m
円と直線が接するための必要十分条件は何ですか？（此题目本身表意清晰，无需修改，故保持原样） ,円の中心から直線までの距離が半径に等しい
m が n に等しいときの順列は何と呼ばれますか？,全順列
$ax² + bx + c > 0$（あるいは$< 0$、$≥ 0$、$≤ 0$）の形で、$a ≠ 0$となる不等式は何と呼ばれますか？,二次不等式
文字を含む等式において、その文字に任意の実数を代入しても等式が常に成り立つとき、このような等式は何と呼ばれますか？,恒等式
双曲線の焦点間の距離はいくらに等しいですか？,2c
分散の算術平方根は何という名前で呼ばれますか？,標準偏差
一元二次方程式の判別式Δはどんな値に等しいですか？,b² - 4ac
円と2つの共有点を持つ直線は、何と名付けられていますか？,円の割線
一元二次方程式の解の公式において、b² - 4acは何の記号で表されますか？,Δ
"空間ベクトルの加法はどのような演算の法則を満たしますか？

（由于原句已经很清晰准确，在不改变任何条件下，新表述与原句一致）",交換法則と結合法則
方程式の左右両辺を等しくする未知数の値は何と呼ばれますか？,方程式の解（根）
"z = a + bi（a,b∈R）の形をした数は何と呼ばれるのですか？",複素数
