تُسمى الدالة $ y = \log_a x $ (حيث $ a > 0 $، $ a \ne 1 $) دالة لوغاريتمية,دالة قوة,دالة أسية,دالة لوغاريتمية,دالة مثلثية,C
تُعرف المعادلة الخطية التي على الشكل y = kx + b بالصيغة الميل-تقاطع,معادلة القطع,معادلة الميل والقطع,معادلة النقطة والميل,معادلة النقطتين,B
العلاقة P(A|B) = P(A)P(B|A) / P(B) تُسمى بـ,صيغة بايز,صيغة الاحتمال الكلي,صيغة الجمع,صيغة الضرب,A
"في الشكل العام للمتتابعة a₁, a₂, a₃, …، ماذا يُسمّى الحد aₙ؟",متوسط الحدود,الحد اللاحق,الصيغة العامة للترم,الحد السابق,C
يُعرف الخط المستقيم الذي يلتقي مع الدائرة في نقطة واحدة فقط بـ,مماس الدائرة,قطع الدائرة,وتر الدائرة,نصف قطر الدائرة,A
يُسمى العدد الحقيقي x الذي يحقّق المعادلة f(x)=0,نقطة القيمة القصوى للدالة f,صفر الدالة f,نقطة توقف الدالة f,نقطة القيمة القطبية للدالة f,B
تُعرف الخاصية التي تضمن أن الاحتمال الشرط 0 ≤ P(A) ≤ 1 باسم الخاصية الإيجابية,غير السلبية,الجمعية المحدودة,الجمعية القائمة,القياسية,A
عندما يكون Δ<0، ما طبيعة الجذور الحقيقية للمعادلة؟,لها جذرين حقيقيين متساويين,لها جذر حقيقي واحد,لها جذرين حقيقيين غير متساويين,لا توجد جذور حقيقية,D
الدالة $ y = a^x $ حيث $ a > 0 $ و $ a \ne 1 $ تُعرف بدالة أسية,دالة لوغاريتمية,دالة أسية,دالة مثلثية,دالة أسية (دالة экспونенشيلية),D
يُسمى الأس الذي يكون فيه العدد النيبيري e أساسًا بـ,الأسس اللوغاريتمية,الأسس e,الأسس القوة,الأسس π,B
ما هو العدد المركب الذي يكون جزؤه الحقيقي صفرًا وجزؤه التخيلي غير صفري؟,الأعداد الحقيقية,الأعداد الافتراضية الصفرية,الأعداد الحقيقية والافتراضية,الأعداد الافتراضية البحتة,D
في علاقة التكرار للعدد التوافقي $ C_n^m + C_n^{m+1} = ? $، ما القيمة التي توضع مكان علامة الاستفهام؟,C_{n - 1}^{m+1},C_{n}^{m + 2},C_{n+1}^{m},C_{n+1}^{m+1},D
يُسمى التعبير Δ=b²-4ac بـ,معامل,مُفْتَرِق,ثابت,الجذر,B
ما اسم مجموعة جميع الحلول لمعادلة؟,مجموعة حلول المعادلة,مجموعة جذور المعادلة,مجموعة حل المعادلة,مجموعة حلول المعادلة,A
ما قيمة A_n^n؟,n(n - 1),n!,(n + 1)!,(n - 1)!,B
عندما يكون n عددًا صحيحًا موجبًا، فإن (a+b)^n = C_n^0 a^n + C_n^1 a^{n-1}b + ... + C_n^k a^{n-k}b^k + ... + C_n^n b^n تُسمى هذه النتيجة باسم ماذا؟,نظرية المتتالية الجبرية,نظرية الدوال المثلثية,نظرية الحدين,نظرية المتتالية الحسابية,C
مجموعة النقاط في الفضاء التي تبعد مسافة ثابتة عن نقطة معينة تسمى ماذا؟,سطح الكرة,سطح الأسطوانة,سطح المخروط,الدائرة,A
يُرمز لعدد التوافيق لاختيار m من n كائنات مختلفة بالرمز,C_n^m,C_m^n,P_n^m,A_n^m,A
الشرط اللازم والكافي لمسّ دائرة لخط مستقيم هو أن يساوي البعد بين مركز الدائرة والخط المستقيم نصف قطر الدائرة,مسافة مركز الدائرة إلى المستقيم أقل من نصف القطر,مسافة مركز الدائرة إلى المستقيم تساوي نصف القطر,مسافة مركز الدائرة إلى المستقيم أكبر من نصف القطر,يمر المستقيم عبر نقطة على الدائرة,B
عندما يكون m يساوي n، ما اسم الترتيب؟,ترتيب خاطئ,ترتيب دائري,ترتيب جزئي,ترتيب كامل,D
تُعرف الصيغة ax²+bx+c>0 (أو <0، ≥0، ≤0)، حيث a≠0، بـ,متباينة بسيطة ذات متغير واحد,متباينة تربيعية ذات متغير واحد,متباينة بسيطة ببسط كسر,متباينة بسيطة ذات متغيرين,B
يُعرف التعبير الذي يحتوي على حروف ويبقى صحيحًا لأي قيم حقيقية تُعطى لهذه الحروف بأنه تعبير متطابق,عدم المساواة,معادلة تناقضية,معادلة شرطية,معادلة دائمة,D
ما هو طول البعد البؤري للقطع الزائد؟,2b,2c,c,2a,B
ما اسم الجذر التربيعي للتباين؟,الوسطى,المتوسط,الانحراف المعياري,المدى,C
ما قيمة المميز Δ في المعادلة التربيعية من الدرجة الأولى؟,b² + 4ac,4ac - b²,b²-4ac,2b - 4ac,C
يُسمى الخط الذي يقطع الدائرة في نقطتين,نصف قطر الدائرة,شق الدائرة,وتر الدائرة,مماس الدائرة,B
في صيغة حل المعادلة التربيعية، ما اسم الرمز الذي يُستخدم للتعبير عن \( b^2 - 4ac \)؟,Δ,α,γ,β,A
يُحقق جمع المتجهات الفراغية خاصيتي التبادل والجمع,قاعدة التناظر وقاعدة الانتقال,قاعدة التكافؤ الذاتي وقاعدة الامتصاص,قاعدة التوزيع وقاعدة القضاء,قاعدة التبادل وقاعدة الجمع,D
ما القيمة التي تُحقِّق تساوي طرفي المعادلة بالنسبة للمجهول؟,أعضاء المعادلة,معاملات المعادلة,درجة المعادلة,حل (جذر) المعادلة,D
"تُعرف الأعداد على الشكل z = a + bi (حيث a,b ∈ R) بالأعداد المركبة",الأعداد الحقيقية,الأعداد الافتراضية,الأعداد الكسرية,الأعداد المركبة,D
