بما أن $2^a = 5$ و$\log_8 3 = b$، فإن $4^{a - 3b}$ يمكن كتابته على الصورة $\frac{m}{n}$، حيث $m$ و$n$ عددان صحيحان موجبان أوليان نسبيًا. أوجد $m + n$.,34
"في المثلث $ABC$، تُرمز إلى الأضلاع المقابلة للزوايا $A$ و$B$ و$C$ بالحروف $a$ و$b$ و$c$ على التوالي. من المعروف أن $a \sin B = \sqrt{3}\, b \cos A$، و$ c - 2b = 1$، و$a = \sqrt{7}$، أوجد قيمة $c$.",3
بما أن الحدثين \( A \) و \( B \) مستقلين، فإن احتمال وقوع الحدث \( A \) هو \( P(A) = \frac{1}{2} \)، واحتمال وقوع الحدث \( B \) هو \( P(B) = \frac{1}{3} \). يمكن التعبير عن الاحتمال \( P(A \cap B) \) لوقوع الحدث \( A \cap B \) على شكل كسر \(\frac{m}{n}\)، حيث \( m \) و \( n \) عددان صحيحان موجبان أوليان بالنسبة لبعضهما البعض. أوجد \( m + n \).,7
"محل معين، من أجل جذب الزبائن، يستعد لتقديم جائزتين. يمكن لأي عميل يدخل المحل ويشتري شيئًا أن يشارك في اليانصيب. بمجرد توزيع الجائزتين، تنتهي نشاطات اليانصيب. قواعد اليانصيب هي كالتالي: يوجد في صندوق غير شفاف كرات تُسحب مع الإرجاع (جميع الكرات لها نفس الحجم والكتلة). سحب كرة حمراء يعني ""لا جائزة""، بينما سحب كرة بيضاء يعني ""الفوز بجائزة"". في البداية، يوجد في الصندوق 2 كرة بيضاء و3 كرات حمراء. يقوم العميل المشارك بسحب كرة واحدة عشوائيًا من الصندوق. إذا لم يفز العميل بالجائزة، تُعاد الكرة إلى الصندوق، وتنتهي مشاركة هذا العميل في اليانصيب؛ ثم يبدأ العميل التالي بالسحب. أما إذا فاز العميل بالجائزة، تُعاد الكرة إلى الصندوق ويتم إضافة كرة حمراء إضافية إلى الصندوق، ثم يسحب العميل مرة أخرى. إذا لم يفز العميل بالجائزة في السحب الثاني، تُعاد الكرة إلى الصندوق، ويحصل العميل على جائزة واحدة فقط، ثم يبدأ العميل التالي بالسحب. وإذا فاز العميل بالجائزة في السحب الثاني، فإنه يحصل على جائزتين، وتنتهي نشاطات اليانصيب تمامًا. ومن المعروف أن هذه النشاطات تحظى بشعبية كبيرة، وسيكون هناك دائمًا زبائن يشاركون في اليانصيب حتى يتم منح الجائزتين. احتمال أن يفوز كل من العميل الثاني والعميل الثالث بجائزة واحدة بالضبط يمكن كتابته على الصورة $\frac{m}{n}$، حيث $m$ و$n$ عددان صحيحان أوليان بالنسبة لبعضهما البعض. أوجد $m + n$.",79
في المستوى الإحداثي، لتقطع الخط \( l_1: x - y + 6 = 0 \) محور \( x \) عند النقطة \( A \)، ومحور \( y \) عند النقطة \( B \)، ويقطع الدائرة \( (x+1)^2 + (y-3)^2 = r^2 \) عند النقطتين \( C \) و\( D \). إذا كان \( |AB| = 3|CD| \)، فأوجد \( r \).,2
"بما أن النقطة \( (3a, 0) \) (\( a > 0 \)) تمثل مركز تماثل لرسم الدالة \( y = 2\tan\left(x - \frac{\pi}{3}\right) \). فإن القيمة الصغرى للعدد \( a \) يمكن التعبير عنها على الشكل \(\frac{\pi}{n}\)، حيث \( n \) عدد صحيح. أوجد \( n \).", 9
صندوق يحتوي على 5 كرات متماثلة مرقمة من 1 إلى 5. تُسحب كرة واحدة من الصندوق مع الإرجاع ثلاث مرات. ليكن \( X \) هو عدد التسميات المختلفة التي تظهر مرة واحدة على الأقل بين السحوبات الثلاث. يمكن التعبير عن القيمة المتوقعة \( E(X) \) على شكل كسر \( \frac{m}{n} \)، حيث \( m \) و\( n \) عددين صحيحين موجبين أوليين نسبيًا. أوجد \( m + n \).,86
معطى أن \( (1 - 2x)^4 = a_0 - 3a_1 x + 4a_2 x^2 - 8a_3 x^3 + 16a_4 x^4 \)، فما قيمة \( a_0 \)؟,1
تحت ظروف معينة، يكون الوقت المطلوب لتدريب نموذج ذكاء اصطناعي كبير يستخدم لغة على \( N \) وحدة من البيانات هو \( T = k\log_2 N \) (الوحدة: ساعة)، حيث \( k \) ثابت. وتحت هذه الظروف، من المعروف أنه عندما يزداد حجم بيانات التدريب \( N \) من \( 10^6 \) وحدة إلى \( 1.024 \times 10^9 \) وحدة، يزداد وقت التدريب بمقدار 20 ساعة؛ كم تزداد مدة التدريب عندما يزداد حجم بيانات التدريب \( N \) من \( 1.024 \times 10^9 \) وحدة إلى \( 8.192 \times 10^9 \) وحدة؟,6
"ليكن المجموعة الشاملة هي $ U = \{x \mid x \text{ عدد صحيح موجب أقل من } 9\} $، وليكن $ A = \{1,\,3,\,5\} $. فعدد عناصر $ C_U A $ (مكملة $ A $ في $ U $) هو؟",5
