Par rapport à quelle droite les graphes de la fonction exponentielle \( y = a^x \) et de la fonction logarithmique \( y = \log_a x \) sont-ils symétriques?,y = 0,x = 0,y = -x,y=x,D
La condition nécessaire et suffisante pour qu'une fonction \( f(x) \) soit différentiable au point \( x_0 \) est que la dérivée à gauche et la dérivée à droite de \( f(x) \) en \( x_0 \) existent toutes les deux et soient égales.,dérivée d'ordre deux,dérivée de fonction composée,dérivée de fonction inverse,dérivée à droite,D
"Supposons que \( A \) et \( B \) soient deux évènements aléatoires. Sachant que \( P(A|B) = P(A) \) (ou \( P(B|A) = P(B) \)) et que \( P(A) > 0 \), \( P(B) > 0 \), les évènements \( A \) et \( B \) sont dits mutuellement ____.",complémentaires,dépendants,exclusifs,indépendants,D
"Si une position non terminale possède au moins une position subséquente qui est une position P, alors cette position est une _____.",R-position,Q-position,N-position,P-position,C
Une droite qui touche le cercle en ____ point est une tangente à un cercle.,un,trois,aucun,deux,A
"Si la fonction interne \( u = g(x) \) croît strictement sur l'intervalle \( I \), et que la fonction externe \( y = f(u) \) croît également strictement sur l'intervalle correspondant \( g(I) \) (l'image de \( g(x) \) sur \( I \)), alors la fonction composée \( y = f(g(x)) \) est ____ sur \( I \).",oscillante,non monotone,strictement décroissante,strictement croissante,D
"À partir d'un ensemble de \(n\) éléments distincts, choisir n'importe quels \(m\) éléments \((m \leqslant n)\) pour former un groupe est appelé un ___ de \(m\) éléments choisis parmi \(n\) éléments distincts.",arrangement,combinaison,permutation,suite,B
"Si deux angles sont respectivement supplémentaires à deux angles qui sont égaux entre eux, alors les deux angles sont ____.",complémentaires,égaux,supplémentaires,inégaux,B
\(\log_a \frac{M}{N}\) est égal à \(\log_a M\) moins ou plus ou autre opération que l'on doit déterminer par rapport à \(\log_a N\),multiplié par,divisé par,moins,plus,C
"Calculer \( a \) élevé à la puissance « du logarithme de \( N \) en base \( a \) », et le résultat est ____.",a,N,logₐN,1,B
"Les nombres de la forme \( z = a + bi \) sont désignés comme nombres complexes, où \( a \) est la partie réelle du nombre complexe \( z \), et \( b \) est appelée le ____ du nombre complexe \( z \).",real coefficient,partie imaginaire,partie imaginaire pure,coefficient complexe,B
"Si les chiffres correspondant aux centaines, aux dizaines et aux unités d'un nombre composé de trois chiffres sont respectivement \(a\), \(b\) et \(c\), alors le nombre s'écrit sous la forme ____ + \(10b\) + \(c\). ",10a,a,1000a,100a,D
La relation de base dans les problèmes de déplacement : Quelle est la grandeur manquante dans l'équation Distance = Vitesse * ____?,Volume,Accélération,Temps,Surface,C
"Si un entier a est tel qu'il peut être divisé par un autre entier b sans reste, alors on dit que a est ____ par b.",indivisible,diviseur,divisible,dividende,C
"Si l'on dispose de 3 plans mutuellement exclusifs pour exécuter une tâche, où il y a \( n_1 \) façons dans le premier plan, \( n_2 \) façons dans le deuxième plan et \( n_3 \) façons dans le troisième plan, alors le nombre total de façons d'exécuter la tâche est ____.",\(n_1\times n_2\times n_3\),\(n_1 - n_2 - n_3\),\(\frac{n_1 + n_2 + n_3}{3}\),\( n_1 + n_2 + n_3 \),D
"Si l'on divise le polynôme \( f(x) \) par le polynôme linéaire \( (x - a) \), le reste est une constante, et cette constante est égale à ____.",\(f(0)\),\(f(-a)\),\(f(1)\),\(f(a)\),D
"Si une droite est parallèle à un plan, et qu'un plan contenant cette droite rencontre le plan initial en une intersection, alors la droite est ____ la droite d'intersection.",perpendiculaire à,"sécante à (en français, on utilise généralement ""sécante"" pour décrire les droites non coplanaires, mais ""skew"" n'a pas exactement d'équivalent direct, ""sécante"" est une approximation)",parallèle à,en intersection avec,C
"Dans un triangle rectangle dans un plan, le carré de l'hypoténuse est ____ à la somme des carrés des deux côtés adjacents à l'angle droit.",supérieur à,égal à,inférieur à,sans rapport avec,B
"Si les côtés correspondants de deux triangles sont proportionnels, alors les angles intérieurs correspondants de ces deux triangles sont ____.",égaux,complémentaires,supplémentaires,inégaux,A
"Organiser tous les \( n \) éléments distincts (c'est-à-dire ""choisir tous les éléments pour les classer"") s'appelle une ____ des \( n \) éléments.",sous - ensemble,combinaison,probabilité,permutation,D
"Dans le système de numération en base n, le chiffre unique le plus grand est ____.",n + 1,n - 1,n,n/2,B
"Dans un parallélogramme, les deux paires de côtés opposés sont respectivement ____.",parallèles et égaux,perpendiculaires et égaux,parallèles et perpendiculaires,égaux et sécants,A
"Quel nom porte l'ensemble des points d'un plan pour lesquels la valeur absolue de la différence des distances à deux points fixes \( F_1 \) et \( F_2 \) (appelés foyers) est égale à une constante (notée \( 2a \), avec \( 0 < 2a < |F_1F_2| \)) ?",parabole,hyperbole,ellipse,cercle,B
"Rangez un ensemble de données dans l'ordre croissant (ou décroissant). Lorsque le nombre de points de données est impair, le nombre situé à la position médiane est le ____ de cet ensemble de données.",mean,médiane,étendue,mode,B
"Pour tous deux ensembles finis \( A \) et \( B \), le nombre d'éléments de leur union est égal à la somme du nombre d'éléments des deux ensembles ____ le nombre d'éléments de leur intersection.",moins,plus,divisé par,multiplié par,A
"Si les angles correspondants de deux triangles sont égaux et leurs côtés correspondants sont proportionnels, les deux triangles sont alors ____.",équilatéraux,congruents,isocèles,semblables,D
"Dans un triangle rectangle, le carré d'un des côtés formant l'angle droit est égal au produit de la projection de ce côté sur l'hypoténuse et du ____.",hypoténuse,médiane relative à l'hypoténuse,autre catété,hauteur relative à l'hypoténuse,A
Il y a un point à l'intérieur d'un tétraèdre qui est à la même distance de toutes ses faces. Ce point s'appelle le ____ du tétraèdre.,centroid,orthocentre,centre du cercle inscrit,centre du cercle circonscrit,C
Quelle est la nature des quatre angles d'un rectangle? Ils sont ____.,angles droits,angles obtus,angles plats,angles aigus,A
"Pour tout entier positif \( n \), combien y a - t - il exactement de solutions complexes distinctes de l'équation \( x^n = 1 \)?",2n,n + 1,n,n - 1,C
