"Let parabola \( C: y^2 = 2px \) (\( p > 0 \)) have focus \( F \). Point \( A \) lies on \( C \). Draw a perpendicular line from \( A \) to the directrix of \( C \), with the foot of the perpendicular being \( B \). If the equation of line \( BF \) is \( y = -3x + 3 \), what is the value of \( |AF| \)?",10
"For the hyperbola \(\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1\) (\(a > 0\), \(b > 0\)), its left and right foci are \(F_1\) and \(F_2\) respectively. A parabola \(y^2 = 2px\) (\(p > 0\)) with the right focus \(F_2\) as its focus intersects the hyperbola at point \(P\) in the first quadrant. If \(|PF_1| + |PF_2| = 4|F_1F_2|\), what is the eccentricity \(e\) of the hyperbola?","""5/3"""
"Given that events \( A \) and \( B \) are independent, the probability of event \( A \) occurring is \( P(A) = \frac{1}{2} \), and the probability of event \( B \) occurring is \( P(B) = \frac{1}{3} \). What is the probability \( P(A \cap B) \) of the occurrence of event \( A \cap B \)?",\frac{1}{6}
"Xiaotong runs laps on the playground twice a week, running 5 laps or 6 laps each time. The probability of him running 5 laps or 6 laps for the first time is both 0.5. If he runs 5 laps for the first time, the probability of him running 5 laps for the second time is 0.4, and the probability of running 6 laps is 0.6; if he runs 6 laps for the first time, the probability of him running 5 laps for the second time is 0.6, and the probability of running 6 laps is 0.4. What is the probability that Xiaotong runs a total of 10 laps in a week?",0.2
"Given \( S_n = -n^2 + 8n \), what is the sum of the first 4 terms of the sequence \( \{|a_n|\} \)?",16
"Given that the point \( (3a, 0) \) (\( a > 0 \)) is a symmetric center of the graph of the function \( y = 2\tan\left(x - \frac{\pi}{3}\right) \), what is the minimum value of \( a \)?", \frac{\pi}{9}
"Given sets \( M = \{x \mid 2x - 1 > 5\} \) and \( N = \{1, 2\} \), what is \( M \cap N \)?",\varnothing
"Given \( (1 - 2x)^4 = a_0 - 3a_1 x + 4a_2 x^2 - 8a_3 x^3 + 16a_4 x^4 \), what is the value of \( a_0 \)?",1
"Under certain conditions, the time required for an artificial intelligence large language model to train on \( N \) units of data is \( T = k\log_2 N \) (unit: h), where \( k \) is a constant. Under these conditions, it is known that when the training data volume \( N \) increases from \( 10^6 \) units to \( 1.024 \times 10^9 \) units, the training time increases by 20 h; how many hours does the training time increase when the training data volume \( N \) increases from \( 1.024 \times 10^9 \) units to \( 8.192 \times 10^9 \) units?",6
"Given the general terms of sequences \(\{a_n\}\), \(\{b_n\}\), and \(\{c_n\}\) are \(a_n = 10n - 9\), \(b_n = 2^n\), and \(c_n = \lambda a_n + (1 - \lambda)b_n\) respectively. For any \(\lambda \in [0, 1]\), the values of \(a_n\), \(b_n\), and \(c_n\) can form a triangle. How many positive integers \(n\) satisfy the condition?",2
"Given that the complex number \( z \) satisfies \( \text{i} \cdot z + 2 = 2\text{i} \), what is \( |z| + 1 \)?",\( 2\sqrt{2} + 1 \) 
"Given the universal set \( U = \{x \mid x \text{ is a positive integer less than 9}\} \) and set \( A = \{1, 3\} \), how many elements are there in \( \complement_U A \)?",6
"Given \( f(x) = \sin(\omega x + \varphi) \) (\( \omega > 0 \), \( -\pi < \varphi < \pi \)), which is monotonically increasing on \(\left[-\frac{5\pi}{12}, \frac{\pi}{12}\right]\). Additionally, \( x = \frac{\pi}{12} \) is one of its axes of symmetry, and \( \left(\frac{\pi}{3}, 0\right) \) is one of its centers of symmetry. What is the minimum value of \( f(x) \) when \( x \in \left[0, \frac{\pi}{6}\right] \)?",\( \frac{\sqrt{3}}{2} \)
"Given that \(\cos(\alpha + \beta) = m\) and \(\tan\alpha \tan\beta = 3\), what is \(\cos(\alpha - \beta)\)? ", \( -2m \)
"When \( x \in \left[0, \frac{2\pi}{3}\right] \), how many intersection points are there between the curves \( y = \sin x \) and \( y = 2\sin\left(3x - \frac{\pi}{6}\right) \)?",2
"Given that \( \text{i} \) is the imaginary unit, what is the value of \( \left| \frac{4 + \text{i}}{\text{i}} \right| \)?",17
"Let function \( f(x) = \sin 2\omega x + \cos 2\omega x \) (\( \omega > 0 \)). If \( f(x + \pi) = f(x) \) holds constantly, and \( f(x) \) has a zero point on \( \left[0, \frac{\pi}{4}\right] \), what is the minimum value of \( \omega \)?",2
There are 7 male athletes and 2 female athletes. How many different ways are there to select 2 people to form a team for the table tennis mixed doubles match?,14
"If $\cos\alpha + 2\sin\alpha = \frac{3\sqrt{5}}{5}$, what is $\tan\alpha$?  ", \( -2 \)
"3 parents and 3 children go hiking. The 6 people need to line up in a queue, with the requirement that both the head and the tail of the queue are parents. How many different arrangements are there?",144
"Let \(a, b > 0\) and \(a + \frac{1}{b} = 2\). What is the minimum value of \(b + \frac{1}{a}\)?  ",4
"Line \( l_1: x - y + 6 = 0 \) intersects the x-axis at point \( A \) and the y-axis at point \( B \). It also intersects the circle \( (x + 1)^2 + (y - 3)^2 = r^2 \) (\( r > 0 \)) at points \( C \) and \( D \). Given \( |AB| = 3|CD| \), what is the value of \( r \)?",4
"Let the hyperbola \( C: \frac{x^2}{a^2} - \frac{y^2}{b^2} = 1 \) (\( a > 0 \), \( b > 0 \)) have left and right foci \( F_1 \) and \( F_2 \) respectively. Draw a straight line parallel to the \( y \)-axis through \( F_2 \), which intersects \( C \) at points \( A \) and \( B \). If \( |F_1A| = 14 \) and \( |AB| = 8 \), what is the eccentricity \( e \) of \( C \)?",\(\sqrt{2}\)
"There are 4 identical balls, each marked with the number 1, 2, 3 and 4 respectively. We randomly draw 3 times with replacement, taking 1 ball each time. Let \( X \) be the number of balls that are drawn at least once among these 5 balls. What is the mathematical expectation \( E(X) \) of \( X \)?",2.3125
"Given the universal set \( U = \{1, 2, 3, 4, 5\} \), set \( A = \{1, 3\} \), and set \( B = \{2, 5\} \), what is \( \complement_U (A \cup B) \)?",\( \{4\} \)
"In triangle  ABC, D is the midpoint of side AB. \(\overrightarrow{CE} = \frac{2}{3}\overrightarrow{CD}\), \(\overrightarrow{AB} = \vec{a}\), \(\overrightarrow{AC} = \vec{b}\). Given \(|\overrightarrow{AE}| = 5\) and \(AE \perp CB\), what is \(\overrightarrow{AE} \cdot \overrightarrow{CD}\)? ",\(-\frac{75}{4}\)
"Given that the domain of the function \( f(x) \) is \( (-1, +\infty) \), \( f(0) = 0 \), and its derivative \( f'(x-1) = \frac{\ln(x)}{x} \). Let \( l_1 \) be the tangent line to the curve \( y = f(x) \) at point \( A(a, f(a)) \) (\( a \neq 0 \)). Find the maximum value of \( f'(x) \).",\( \frac{1}{e} \) 
"If the line \( y = 2x + 5 \) is a tangent line to the curve \( y = e^x + x + 2a \), what is the value of \( a \)?",2
A closed cylindrical container (ignoring the thickness of the container wall) has a base radius of 4 cm and a height of 9 cm. There are two iron balls of equal radius inside the container. What is the maximum diameter (in centimeters) of the iron balls?,5
"If \( x = 2 \) is an extreme point of the function \( f(x) = (x - 1)(x - 2)(x - a) \), what is the value of \( f(4) \)?",12
