関数 $ y = \log_a x $（$ a > 0 $，$ a \neq 1 $）は何と呼ばれますか？,べき関数,指数関数,対数関数,三角関数,C
y = kx + b の形をした直線の方程式は何と呼ばれますか？,切片式方程式,傾き切片式方程式,点傾き式方程式,二点式方程式,B
等式P(A|B) = P(A)P(B|A) / P(B)は何と呼ばれますか？,ベイズの公式,全確率の公式,加法公式,乗法公式,A
"数列の一般形 $ a_1, a_2, a_3, \cdots $ において、$ a_n $ は何と呼ばれますか？",中項,後項,一般項,前項,C
円と共有点が一つだけある直線は何と呼ばれますか？,円の接線,円の割線,円の弦,円の半径,A
関数f(x)を0にする実数xは何と呼ばれますか？,関数fの最大最小点,関数fの零点,関数fの停留点,関数fの極値点,B
確率が 0 ≤ P(A) ≤ 1 という性質を満たすことを何と呼びますか？,非負性,有限加法性,可算加法性,正規性,A
Δ < 0 のとき、方程式の実数解の状況はどうなりますか？,2つの等しい実数解がある,1つの実数解がある,2つの異なる実数解がある,実数解がない,D
関数 y = a^x（a > 0 且 a ≠ 1）は何と呼ばれますか？,対数関数,べき関数,三角関数,指数関数,D
自然対数の底 e を底とする指数は何と呼ばれますか？,対数指数,e 指数,冪指数,π 指数,B
実部が0で虚部が0でない複素数は何と呼ばれますか？,実数,零虚数,実虚数,純虚数,D
組み合わせ数の漸化式 \( C_n^m + C_n^{m+1} = \) ？ で、疑問符の部分にはどの項を入れるべきですか？,C_{n - 1}^{m+1},C_{n}^{m + 2},C_{n+1}^{m},C_{n+1}^{m+1},D
式Δ = b² - 4acは何と呼ばれますか？,係数,判別式,定数,根番号式,B
1つの方程式のすべての解からなる集合は何と呼ばれますか？,方程式の解集,方程式の根の集合,方程式の解群,方程式の解クラスター,A
$A_n^n$は何に等しいですか？,n(n - 1),nの階乗,(n + 1)の階乗,(n - 1)の階乗,B
正の整数 $n$ のとき、$(a + b)^n = C_n^0 a^n + C_n^1 a^{n - 1}b + \cdots + C_n^k a^{n - k}b^k + \cdots + C_n^n b^n$ という結論は何と呼ばれていますか？,等比数列の定理,三角関数の定理,二項定理,等差数列の定理,C
空間内で定点からの距離が定長に等しい点の集合は何と呼ばれますか？,球面,円柱面,円錐面,円,A
n個の異なる対象からm個の対象を取り出す組み合わせ数はどの記号で表されますか？,C_n^m,C_m^n,P_n^m,A_n^m,A
円と直線が接するための必要十分条件は何ですか？,円の中心から直線までの距離が半径より小さい,円の中心から直線までの距離が半径に等しい,円の中心から直線までの距離が半径より大きい,直線が円上の一点を通る,B
m = n のときの順列は何と呼ばれますか？,錯列,円順列,部分順列,全順列,D
$ax² + bx + c > 0$（または$< 0$、$≥ 0$、$≤ 0$）の形で、$a ≠ 0$となる不等式は何と呼ばれますか？,一元一次不等式,一元二次不等式,分式不等式,二元一次不等式,B
文字を含む等式で、その文字に任意の実数を代入しても等式が常に成り立つ場合、そのような等式は何と呼ばれますか？,不等式,矛盾等式,条件等式,恒等式,D
双曲線の焦点間距離はいくらに等しいですか？,2b,2c,c,2a,B
分散の算術平方根は何と呼ばれますか？,中央値,平均値,標準偏差,範囲,C
一元二次方程式の判別式Δは何に等しいですか？,b² + 4ac,4ac - b²,b²-4ac,2b - 4ac,C
円と2つの共有点を持つ直線は何と呼ばれますか？,円の半径,円の割線,円の弦,円の接線,B
一元二次方程式の解の公式において、b² - 4acはどの記号で表されますか？,Δ,α,γ,β,A
空間ベクトルの加法はどのような演算の法則を満たしますか？,対称律と推移律,等冪律と吸収律,分配律と消去律,交換律と結合律,D
方程式の左右両辺を等しくする未知数の値を何と呼びますか？,方程式の項,方程式の係数,方程式の次数,方程式の解（根）,D
"z = a + bi（a,b∈R）の形をした数は何と呼ばれますか？",実数,虚数,有理数,複素数,D
